Cas-nr,PubChem CID
59016-56-7,9881151
61951-82-4,73264
62502-71-0,11768502
62625-22-3,135472945
62637-93-8,198430
62758-13-8,112939
62778-11-4,64774
63974-15-2,10999161
64080-15-5,16641252
64431-96-5,125132
66357-59-3,3033332
66455-31-0,222536
67604-48-2,932
67627-18-3,105482
67627-19-4,135537156
68131-04-4,21908873
68168-23-0,53486154
68412-54-4,24773
68414-18-6,16218837
68990-09-0,66898
69011-19-4,172366
69227-93-6,114880
69304-37-6,172404
69739-34-0,123564
69984-73-2,155448
71119-23-8,23673676
72320-38-8,10996974
73025-69-1,2761768
73463-39-5,2733480
75504-34-6,3033895
75968-40-0,643324
77337-82-7,101293
78508-96-0,10176122
83649-47-2,24820433
83649-48-3,2734697
84366-81-4,2734019
86728-85-0,7019277
87413-09-0,159087
87687-02-3,114982
90866-33-4,2734445
91079-40-2,167312541
91298-67-8,6934243
99528-42-4,6950175
100393-41-7,2764540
106627-54-7,3520574
123333-53-9,2796029
123439-80-5,3005642
128446-35-5,56972821
129042-57-5,10560626
131347-76-7,14731979
136112-00-0,66587205
150399-99-8,16213556
184901-84-6,12677290
203719-54-4,441245
206986-87-0,23679061
207300-70-7,24892836
219310-09-5,2761557
228579-27-9,447688
275826-46-5,2761791
583823-94-3,53536950
853645-22-4,1051
868272-85-9,16211746
1174157-65-3,51340986
